response,labels
"Ridge Gourd varieties ;-SUREKA ,SANJIVANI,MAHIMA,NS-3 ,401,403",4
BEANS SOWING TIME ;- JUNE -JULY ,1
"Recommended to spray ACEPHATE (ARTHIN) 300 grams or 200 liters of water / ACRE 
(OR)
Recommended to spray THIAMETHOXAM (ACTARA/CRULSER) 40 grams /200 liters of water / ACRE ",6
"These are Basmati 217, Basmati 370, Type 3 (Dehraduni Basmati) Punjab Basmati 1 (Bauni Basmati), Pusa Basmati 1, Kasturi, Haryana Basmati 1, Mahi Sugandha, Taraori Basmati (HBC 19 / Karnal Local), Ranbir Basmati, Basmati 386, Improved Pusa Basmati 1 (Pusa 1460), Pusa Basmati 1121 (After amendment), Vallabh Basmati 22, Pusa Basmati 6 (Pusa 1401), Punjab Basmati 2, Basmati CSR 30 (After amendment), Malviya Basmati Dhan 10-9 (IET 21669), Vallabh Basmati 21 (IET 19493), Pusa Basmati 1509 (IET 21960), Basmati 564, Vallabh Basmati 23, Vallabh Basmati 24, Pusa Basmati 1609, Pant Basmati 1 (IET 21665), Pant Basmati 2 (IET 21953), Punjab Basmati 3, Pusa Basmati 1637, Pusa Basmati 1728, Pusa Basmati 1718, Punjab Basmati 4, Punjab Basmati 5, Haryana Basmati 2 and Pusa Basmati 1692.",0
Recommended to sow from june 3rd week.,7
"Recommended varieties are PUSA SADHABAHAR,PUSA MOUSAMI,PUSANAVA BAHAR",3
Recommended Chilli sowing time ;JULY-AUG ,2
"Varieties are Sindhur (CA 960), Kiran (LCA-200), Bhaskar (LCA-233), Prakash (LCA-206), Warangal Local (Tomato Chilli)",8
Acipate should be sprayed at the rate of 300 grams / 200 liters of water ,5
no weedicide recommendation,9
